seed,variant,portfolio_size,f1,f2,f3,p95,hv,ood,nominal,portfolio,pack,buffer
0,Full C-R-EoH,4,796.1335,850.9934,33.3401,881.4184,1.1025,40.2917,762.0091,4,0.9699,0.3414
0,No OWA risk objective,3,796.1335,850.9934,33.3401,881.4184,1.1025,40.2917,762.0091,3,0.9699,0.3414
0,No stability objective,1,796.1335,850.9934,33.3401,881.4184,1.1025,40.2917,762.0091,1,0.9699,0.3414
0,No robustness buffer,4,796.6658,853.0577,33.9718,882.6417,1.0838,40.198,762.0091,4,0.8753,0.0
0,No Pareto archive (scalarised),1,796.1335,850.9934,33.3401,881.4184,1.1025,40.2917,762.0091,1,0.9699,0.3414
0,No alpha-cut ensemble (modal only),2,830.0103,935.6039,66.355,983.2511,0.3818,47.8186,755.0228,2,1.0783,0.0681
1,Full C-R-EoH,6,786.7505,866.4967,52.786,900.2929,1.1025,56.4126,740.8679,6,0.9723,0.2811
1,No OWA risk objective,6,786.7505,866.4967,52.786,900.2929,1.1025,56.4126,740.8679,6,0.9723,0.2811
1,No stability objective,1,786.7505,866.4967,52.786,900.2929,1.1025,56.4126,740.8679,1,0.9723,0.2811
1,No robustness buffer,3,789.7356,873.2721,55.134,903.3757,1.0299,55.8214,740.8679,3,0.8717,0.0422
1,No Pareto archive (scalarised),1,786.7505,866.4967,52.786,900.2929,1.1025,56.4126,740.8679,1,0.9723,0.2811
1,No alpha-cut ensemble (modal only),1,810.5473,952.3352,98.1571,1002.6187,0.3675,65.3916,705.6848,1,1.12,0.2278
2,Full C-R-EoH,4,786.396,839.2743,35.1077,842.6088,1.1025,28.6439,744.3388,4,1.0623,0.7422
2,No OWA risk objective,4,786.396,839.2743,35.1077,842.6088,1.1025,28.6439,744.3388,4,1.0623,0.7422
2,No stability objective,1,786.396,839.2743,35.1077,842.6088,1.1025,28.6439,744.3388,1,1.0623,0.7422
2,No robustness buffer,3,790.12,846.7631,37.1717,863.2455,0.996,27.7129,744.3388,3,0.8609,0.0
2,No Pareto archive (scalarised),1,786.396,839.2743,35.1077,842.6088,1.1025,28.6439,744.3388,1,1.0623,0.7422
2,No alpha-cut ensemble (modal only),1,806.4826,912.119,69.4553,933.8733,0.3146,38.5893,714.0486,1,1.0245,0.0061
3,Full C-R-EoH,6,785.2818,859.5337,49.5398,900.2858,1.1025,58.7259,727.7394,6,0.8888,0.1259
3,No OWA risk objective,6,785.2818,859.5337,49.5398,900.2858,1.1025,58.7259,727.7394,6,0.8888,0.1259
3,No stability objective,1,785.2818,859.5337,49.5398,900.2858,1.1025,58.7259,727.7394,1,0.8888,0.1259
3,No robustness buffer,3,786.4441,862.569,50.7629,909.7221,1.0781,58.4914,727.7394,3,0.821,0.0
3,No Pareto archive (scalarised),1,785.2818,859.5337,49.5398,900.2858,1.1025,58.7259,727.7394,1,0.8888,0.1259
3,No alpha-cut ensemble (modal only),1,806.1162,937.4278,91.0988,984.6498,0.5705,68.2693,687.7394,1,0.9882,0.0
4,Full C-R-EoH,7,950.6579,1038.7604,60.522,1088.1633,1.0953,56.2442,876.0665,7,0.9341,0.5091
4,No OWA risk objective,6,928.1381,1048.7172,79.4227,1116.5115,1.0953,71.8869,836.0665,6,1.12,0.611
4,No stability objective,2,950.6579,1038.7604,60.522,1088.1633,1.0953,56.2442,876.0665,2,0.9341,0.5091
4,No robustness buffer,5,952.5009,1042.6981,62.6086,1086.2018,1.0632,57.469,876.0665,5,0.7554,0.0428
4,No Pareto archive (scalarised),1,928.1381,1048.7172,79.4227,1116.5115,1.0552,71.8869,836.0665,1,1.12,0.611
4,No alpha-cut ensemble (modal only),1,950.9435,1126.9154,120.9487,1195.6771,0.5779,79.3322,796.0665,1,1.044,0.1384
5,Full C-R-EoH,4,775.9091,831.9838,35.1701,873.9733,1.1025,48.1918,732.4204,4,1.0563,0.5207
5,No OWA risk objective,4,775.9091,831.9838,35.1701,873.9733,1.1025,48.1918,732.4204,4,1.0563,0.5207
5,No stability objective,2,775.9091,831.9838,35.1701,873.9733,1.1025,48.1918,732.4204,2,1.0563,0.5207
5,No robustness buffer,3,777.7055,836.3998,37.2361,880.5806,1.052,47.8671,732.4204,3,0.8531,0.0
5,No Pareto archive (scalarised),1,775.9091,831.9838,35.1701,873.9733,1.1025,48.1918,732.4204,1,1.0563,0.5207
5,No alpha-cut ensemble (modal only),1,792.2173,901.3282,70.1869,975.3286,0.4825,59.0262,692.4204,1,0.9978,0.0
6,Full C-R-EoH,4,837.2702,903.0101,40.7471,927.5196,1.1006,55.822,781.2696,4,0.9203,0.4581
6,No OWA risk objective,4,817.3146,915.6879,60.0042,957.7744,1.1006,73.0748,741.2696,4,0.9254,0.1419
6,No stability objective,2,837.2702,903.0101,40.7471,927.5196,1.1006,55.822,781.2696,2,0.9203,0.4581
6,No robustness buffer,4,837.6636,904.2383,41.1779,932.158,1.0937,55.7386,781.2696,4,0.7288,0.0
6,No Pareto archive (scalarised),1,837.2702,903.0101,40.7471,927.5196,1.0471,55.822,781.2696,1,0.9203,0.4581
6,No alpha-cut ensemble (modal only),1,846.6246,999.5161,94.3593,1063.3615,0.7581,80.0758,707.0897,1,1.12,0.1909
7,Full C-R-EoH,5,760.5318,804.1169,31.2805,807.2253,1.1025,38.1466,722.5319,5,0.8612,0.1162
7,No OWA risk objective,5,760.5318,804.1169,31.2805,807.2253,1.1025,38.1466,722.5319,5,0.8612,0.1162
7,No stability objective,1,760.5318,804.1169,31.2805,807.2253,1.1025,38.1466,722.5319,1,0.8612,0.1162
7,No robustness buffer,4,761.9141,808.123,32.6267,808.7286,1.0788,38.0165,722.5319,4,0.8208,0.0
7,No Pareto archive (scalarised),1,760.5318,804.1169,31.2805,807.2253,1.1025,38.1466,722.5319,1,0.8612,0.1162
7,No alpha-cut ensemble (modal only),9,763.9947,854.2651,62.7011,865.6149,0.8719,51.9185,682.5319,9,1.0,0.0
8,Full C-R-EoH,7,695.9365,751.6029,33.8958,799.5901,1.1025,34.6691,653.7613,7,1.043,0.476
8,No OWA risk objective,6,695.9365,751.6029,33.8958,799.5901,1.1025,34.6691,653.7613,6,1.043,0.476
8,No stability objective,2,695.9365,751.6029,33.8958,799.5901,1.1025,34.6691,653.7613,2,1.043,0.476
8,No robustness buffer,4,696.1844,751.616,33.785,799.5901,1.1019,34.6211,653.7613,4,0.9287,0.0
8,No Pareto archive (scalarised),1,695.9365,751.6029,33.8958,799.5901,1.1025,34.6691,653.7613,1,1.043,0.476
8,No alpha-cut ensemble (modal only),1,722.8159,798.4995,49.2014,848.7418,0.6963,34.9287,653.7613,1,1.0,0.0
9,Full C-R-EoH,5,885.6929,968.2382,53.3476,990.8043,1.0901,59.0277,820.2994,5,1.0246,0.5544
9,No OWA risk objective,5,880.4093,1016.7153,84.3754,1059.4968,1.0901,72.4762,780.2994,5,0.912,0.0
9,No stability objective,3,885.6929,968.2382,53.3476,990.8043,1.0901,59.0277,820.2994,3,1.0246,0.5544
9,No robustness buffer,2,890.5907,981.2683,57.8987,1002.8831,1.0066,58.3955,820.2994,2,0.813,0.0
9,No Pareto archive (scalarised),1,885.6929,968.2382,53.3476,990.8043,1.0555,59.0277,820.2994,1,1.0246,0.5544
9,No alpha-cut ensemble (modal only),13,926.0519,1075.785,98.809,1120.5731,0.7874,67.5829,780.2994,13,1.0,0.0
10,Full C-R-EoH,7,837.2741,895.9733,38.7461,923.1916,1.0968,37.9516,790.3944,7,1.0495,0.9263
10,No OWA risk objective,8,818.4683,906.6325,55.834,961.9261,1.0968,54.3907,750.3944,8,0.8693,0.0
10,No stability objective,5,837.2741,895.9733,38.7461,923.1916,1.0968,37.9516,790.3944,5,1.0495,0.9263
10,No robustness buffer,6,818.4774,904.6235,54.3242,951.3993,1.063,54.389,750.3944,6,0.9007,0.0317
10,No Pareto archive (scalarised),1,837.2741,895.9733,38.7461,923.1916,0.9918,37.9516,790.3944,1,1.0495,0.9263
10,No alpha-cut ensemble (modal only),1,849.1636,987.4731,91.3253,1057.9791,0.4155,61.7637,727.8027,1,1.031,0.0
11,Full C-R-EoH,5,770.7195,829.805,42.7337,861.7109,1.1025,38.0817,723.41,5,0.9403,0.3765
11,No OWA risk objective,6,770.7195,829.805,42.7337,861.7109,1.1025,38.0817,723.41,6,0.9403,0.3765
11,No stability objective,3,770.7195,829.805,42.7337,861.7109,1.1025,38.0817,723.41,3,0.9403,0.3765
11,No robustness buffer,3,774.7059,841.0705,46.638,889.4011,1.0335,37.7401,723.41,3,0.8439,0.0
11,No Pareto archive (scalarised),1,770.7195,829.805,42.7337,861.7109,1.1025,38.0817,723.41,1,0.9403,0.3765
