seed,program,generation,status,detail,repaired,runtime_ms
0,gen1_best_fit_decreasing,1,ok,,False,0.027
0,gen1_karmarkar_karp_pairs,1,ok,,False,0.051
0,gen1_lpt_first_fit,1,ok,,False,0.021
0,gen1_marginal_cost_greedy,1,ok,,False,0.026
0,gen1_worst_fit_balance,1,ok,,False,0.022
0,gen1_zone_blocks,1,ok,,False,0.017
0,gen2_pessimistic_alpha_pack,2,ok,,False,0.024
0,gen2_tail_swap_local_search,2,ok,,False,0.074
0,gen2_two_tier_shift,2,ok,,False,0.023
0,gen2_variance_aware_bestfit,2,ok,,False,0.079
0,gen2_volatility_reserve,2,ok,,False,0.024
0,gen2_zone_diversify,2,ok,,False,0.044
0,gen3_exposure_budget,3,ok,,False,0.03
0,gen3_marginal_tail_cost,3,ok,,False,0.064
0,gen3_selective_reserve_aggressive,3,ok,,False,0.046
0,gen3_selective_reserve_balanced,3,ok,,False,0.045
0,gen3_selective_reserve_mild,3,ok,,False,0.039
0,gen3_zone_antichain,3,ok,,False,0.049
1,gen1_best_fit_decreasing,1,ok,,False,0.027
1,gen1_karmarkar_karp_pairs,1,ok,,False,0.047
1,gen1_lpt_first_fit,1,ok,,False,0.017
1,gen1_marginal_cost_greedy,1,ok,,False,0.025
1,gen1_worst_fit_balance,1,ok,,False,0.02
1,gen1_zone_blocks,1,ok,,False,0.016
1,gen2_pessimistic_alpha_pack,2,ok,,False,0.023
1,gen2_tail_swap_local_search,2,ok,,False,0.083
1,gen2_two_tier_shift,2,ok,,False,0.024
1,gen2_variance_aware_bestfit,2,ok,,False,0.074
1,gen2_volatility_reserve,2,ok,,False,0.025
1,gen2_zone_diversify,2,ok,,False,0.042
1,gen3_exposure_budget,3,ok,,False,0.035
1,gen3_marginal_tail_cost,3,ok,,False,0.056
1,gen3_selective_reserve_aggressive,3,ok,,False,0.045
1,gen3_selective_reserve_balanced,3,ok,,False,0.041
1,gen3_selective_reserve_mild,3,ok,,False,0.077
1,gen3_zone_antichain,3,ok,,False,0.049
2,gen1_best_fit_decreasing,1,ok,,False,0.025
2,gen1_karmarkar_karp_pairs,1,ok,,False,0.047
2,gen1_lpt_first_fit,1,ok,,False,0.017
2,gen1_marginal_cost_greedy,1,ok,,False,0.025
2,gen1_worst_fit_balance,1,ok,,False,0.02
2,gen1_zone_blocks,1,ok,,False,0.016
2,gen2_pessimistic_alpha_pack,2,ok,,False,0.023
2,gen2_tail_swap_local_search,2,ok,,False,0.062
2,gen2_two_tier_shift,2,ok,,False,0.023
2,gen2_variance_aware_bestfit,2,ok,,False,0.082
2,gen2_volatility_reserve,2,ok,,False,0.025
2,gen2_zone_diversify,2,ok,,False,0.039
2,gen3_exposure_budget,3,ok,,False,0.029
2,gen3_marginal_tail_cost,3,ok,,False,0.054
2,gen3_selective_reserve_aggressive,3,ok,,False,0.037
2,gen3_selective_reserve_balanced,3,ok,,False,0.042
2,gen3_selective_reserve_mild,3,ok,,False,0.037
2,gen3_zone_antichain,3,ok,,False,0.047
3,gen1_best_fit_decreasing,1,ok,,False,0.024
3,gen1_karmarkar_karp_pairs,1,ok,,False,0.047
3,gen1_lpt_first_fit,1,ok,,False,0.019
3,gen1_marginal_cost_greedy,1,ok,,False,0.025
3,gen1_worst_fit_balance,1,ok,,False,0.019
3,gen1_zone_blocks,1,ok,,False,0.015
3,gen2_pessimistic_alpha_pack,2,ok,,False,0.022
3,gen2_tail_swap_local_search,2,ok,,False,0.086
3,gen2_two_tier_shift,2,ok,,False,0.025
3,gen2_variance_aware_bestfit,2,ok,,False,0.078
3,gen2_volatility_reserve,2,ok,,False,0.026
3,gen2_zone_diversify,2,ok,,False,0.042
3,gen3_exposure_budget,3,ok,,False,0.031
3,gen3_marginal_tail_cost,3,ok,,False,0.052
3,gen3_selective_reserve_aggressive,3,ok,,False,0.043
3,gen3_selective_reserve_balanced,3,ok,,False,0.036
3,gen3_selective_reserve_mild,3,ok,,False,0.04
3,gen3_zone_antichain,3,ok,,False,0.05
4,gen1_best_fit_decreasing,1,ok,,False,0.022
4,gen1_karmarkar_karp_pairs,1,ok,,False,0.046
4,gen1_lpt_first_fit,1,ok,,False,0.019
4,gen1_marginal_cost_greedy,1,ok,,False,0.024
4,gen1_worst_fit_balance,1,ok,,False,0.02
4,gen1_zone_blocks,1,ok,,False,0.014
4,gen2_pessimistic_alpha_pack,2,ok,,False,0.024
4,gen2_tail_swap_local_search,2,ok,,False,0.081
4,gen2_two_tier_shift,2,ok,,False,0.021
4,gen2_variance_aware_bestfit,2,ok,,False,0.085
4,gen2_volatility_reserve,2,ok,,False,0.027
4,gen2_zone_diversify,2,ok,,False,0.044
4,gen3_exposure_budget,3,ok,,False,0.038
4,gen3_marginal_tail_cost,3,ok,,False,0.062
4,gen3_selective_reserve_aggressive,3,ok,,False,0.049
4,gen3_selective_reserve_balanced,3,ok,,False,0.049
4,gen3_selective_reserve_mild,3,ok,,False,0.048
4,gen3_zone_antichain,3,ok,,False,0.051
5,gen1_best_fit_decreasing,1,ok,,False,0.025
5,gen1_karmarkar_karp_pairs,1,ok,,False,0.046
5,gen1_lpt_first_fit,1,ok,,False,0.018
5,gen1_marginal_cost_greedy,1,ok,,False,0.025
5,gen1_worst_fit_balance,1,ok,,False,0.02
5,gen1_zone_blocks,1,ok,,False,0.015
5,gen2_pessimistic_alpha_pack,2,ok,,False,0.021
5,gen2_tail_swap_local_search,2,ok,,False,0.08
5,gen2_two_tier_shift,2,ok,,False,0.068
5,gen2_variance_aware_bestfit,2,ok,,False,0.076
5,gen2_volatility_reserve,2,ok,,False,0.026
5,gen2_zone_diversify,2,ok,,False,0.038
5,gen3_exposure_budget,3,ok,,False,0.027
5,gen3_marginal_tail_cost,3,ok,,False,0.054
5,gen3_selective_reserve_aggressive,3,ok,,False,0.042
5,gen3_selective_reserve_balanced,3,ok,,False,0.039
5,gen3_selective_reserve_mild,3,ok,,False,0.04
5,gen3_zone_antichain,3,ok,,False,0.049
6,gen1_best_fit_decreasing,1,ok,,False,0.024
6,gen1_karmarkar_karp_pairs,1,ok,,False,0.045
6,gen1_lpt_first_fit,1,ok,,False,0.019
6,gen1_marginal_cost_greedy,1,ok,,False,0.022
6,gen1_worst_fit_balance,1,ok,,False,0.02
6,gen1_zone_blocks,1,ok,,False,0.015
6,gen2_pessimistic_alpha_pack,2,ok,,False,0.023
6,gen2_tail_swap_local_search,2,ok,,False,0.082
6,gen2_two_tier_shift,2,ok,,False,0.022
6,gen2_variance_aware_bestfit,2,ok,,False,0.079
6,gen2_volatility_reserve,2,ok,,False,0.026
6,gen2_zone_diversify,2,ok,,False,0.042
6,gen3_exposure_budget,3,ok,,False,0.03
6,gen3_marginal_tail_cost,3,ok,,False,0.051
