seed,method,technicians,opening,work_mean,overtime_mean,overtime_p95,overtime_share_of_tail,crossing_frac,workload_gini,workload_mad,overtime_gini,max_tech_overtime,arch_size,arch_spread_f1,arch_spread_f2,arch_collinearity,p95,f3,hv,mean_buffer,mean_pack
0,Classical heuristic,6.0,240.0,550.9648,41.60442,124.18806,0.5609,0.33333,0.13015,20.77117,0.45911,10.76378,1.0,0.0,0.0,nan,977.48851,59.5846,0.41382,0.0,1.0
0,Deterministic AHD,5.0,200.0,550.9648,79.04549,169.95068,0.5945,1.0,0.01941,3.48907,0.24477,15.20909,1.0,0.0,0.0,nan,983.25113,66.35499,0.38181,0.0681,1.0783
0,MO AHD (no fuzzy risk),6.0,240.0,550.9648,5.70101,32.09869,0.32333,0.0,0.02121,3.06696,0.19276,1.83865,1.0,0.0,0.0,nan,882.64165,33.97175,1.08381,0.0,0.87527
0,C-R-EoH,6.0,240.0,550.9648,5.16868,28.11792,0.33228,0.0,0.02368,3.35504,0.21399,1.71425,4.0,0.74165,0.72076,0.99754,881.41838,33.34008,1.1025,0.34139,0.96988
1,Classical heuristic,6.0,240.0,538.51415,60.18729,165.83282,0.56821,0.33333,0.1666,26.18272,0.36205,14.42837,1.0,0.0,0.0,nan,1026.88031,92.81572,0.17196,0.0,1.0
1,Deterministic AHD,5.0,200.0,538.51415,72.03317,181.57124,0.5764,0.6,0.02368,4.07058,0.31589,15.12881,1.0,0.0,0.0,nan,1002.61873,98.15709,0.36755,0.22779,1.12
1,MO AHD (no fuzzy risk),8.0,320.0,538.51415,0.0,0.0,0.0,0.0,0.03867,4.04392,0.0,0.0,2.0,0.31606,0.23357,nan,941.04749,45.0697,0.50235,0.19251,0.69788
1,C-R-EoH,6.0,240.0,538.51415,8.23637,39.24539,0.37138,0.0,0.03325,4.47972,0.22156,2.56077,4.0,0.73643,0.70246,0.99093,900.29288,52.78604,1.1025,0.28115,0.9723
2,Classical heuristic,6.0,240.0,540.44235,49.99594,117.54079,0.57553,0.66667,0.16407,25.62068,0.46841,14.34373,1.0,0.0,0.0,nan,951.09011,64.96936,0.12019,0.0,1.0
2,Deterministic AHD,5.0,200.0,540.44235,66.04026,140.32399,0.58994,1.0,0.02474,4.40957,0.33913,16.60512,1.0,0.0,0.0,nan,933.87331,69.45532,0.3146,0.00613,1.02449
2,MO AHD (no fuzzy risk),8.0,320.0,540.44235,0.0,0.0,0.0,0.0,0.03316,3.51128,0.0,0.0,2.0,0.63838,0.58271,nan,913.54933,29.84539,1.05116,0.11945,0.66746
2,C-R-EoH,6.0,240.0,540.44235,5.95365,18.62472,0.32922,0.0,0.05724,8.14309,0.4644,2.36876,4.0,1.0,1.0,0.99823,842.6088,35.1077,1.1025,0.74225,1.06234
3,Classical heuristic,5.0,200.0,537.28084,70.5189,170.78986,0.57374,0.6,0.03316,5.77165,0.3189,16.72814,1.0,0.0,0.0,nan,984.64976,89.72744,0.56423,0.0,1.0
