theta,f1,f2,f3,p95,buffer,pack,ood,f1_ci,f2_ci,f3_ci,p95_ci,buffer_ci,pack_ci,ood_ci
0.05,95.8458,96.5396,7.1835,111.9571,0.3097,0.985,56.589,2.3466,2.3992,0.9532,4.3008,0.0898,0.0295,5.4152
0.1,95.8458,97.1278,7.1835,111.9571,0.3097,0.985,56.589,2.3466,2.4493,0.9532,4.3008,0.0898,0.0295,5.4152
0.15,95.8458,97.6969,7.1835,111.9571,0.3097,0.985,56.589,2.3466,2.4994,0.9532,4.3008,0.0898,0.0295,5.4152
0.2,95.8458,98.2983,7.1835,111.9571,0.3097,0.985,56.589,2.3466,2.5563,0.9532,4.3008,0.0898,0.0295,5.4152
0.25,95.8553,98.9146,7.0585,111.7234,0.3142,0.9817,56.1589,2.3517,2.6031,0.9323,4.2111,0.0885,0.0305,5.3016
0.3,95.886,99.5015,6.7735,110.976,0.3428,0.9835,55.1883,2.3534,2.6645,0.8668,4.1292,0.0885,0.031,5.0928
0.35,95.907,100.1373,6.6502,110.7029,0.3613,0.9873,54.7401,2.3645,2.7031,0.838,4.0278,0.0864,0.0307,4.9654
0.4,95.907,100.8372,6.6502,110.7029,0.3613,0.9873,54.7401,2.3645,2.7678,0.838,4.0278,0.0864,0.0307,4.9654
0.45,95.948,101.5302,6.5381,110.4714,0.3548,0.9801,54.2566,2.3784,2.8252,0.8138,3.995,0.0886,0.0331,4.9411
0.5,95.9911,102.2479,6.4352,110.3044,0.3638,0.9768,53.7052,2.3612,2.937,0.8456,4.0679,0.0856,0.0337,5.2592
0.55,96.1168,102.9529,6.2095,109.7389,0.3465,0.96,52.6397,2.3924,3.0043,0.744,3.8109,0.0882,0.0378,5.0516
0.6,96.1784,103.7096,6.116,109.5081,0.3412,0.9523,52.0976,2.4062,3.0756,0.7036,3.7256,0.0873,0.0365,4.7668
0.65,96.4288,104.4756,5.8734,109.0382,0.3463,0.9396,50.3433,2.4201,3.1508,0.6071,3.5826,0.0887,0.0361,4.502
0.7,96.5931,105.3188,5.7363,108.8133,0.3727,0.9384,49.274,2.5039,3.1999,0.5676,3.4752,0.0929,0.0348,4.3389
0.75,96.7858,106.2798,5.6078,108.6438,0.3511,0.9245,48.211,2.5281,3.2697,0.5536,3.4569,0.0964,0.0361,4.3758
0.8,96.8978,107.4578,5.5582,108.5652,0.3567,0.9206,47.6451,2.4559,3.3609,0.5803,3.5,0.0943,0.0369,4.7344
0.85,97.1392,108.843,5.4785,108.534,0.3745,0.9193,46.3754,2.4604,3.5004,0.5849,3.4992,0.0907,0.0375,4.4482
0.9,97.6575,110.4935,5.3557,108.5722,0.4083,0.9161,44.0502,2.465,3.6701,0.5711,3.5061,0.0957,0.0411,4.4926
0.95,98.6318,112.8084,5.2158,109.1782,0.4113,0.8913,40.2643,2.5936,3.9438,0.5604,3.5905,0.0976,0.0358,4.5159
