spread_delta,profile,theta=0.2,theta=0.3,theta=0.4,theta=0.5,theta=0.6,theta=0.7,theta=0.8,theta=0.9,recommended_theta
0.08,Cost-driven (budget-bound),0.01,0.0005,0.0005,0.0001,0.0078,0.0175,0.0212,0.1028,0.5
0.08,Balanced,0.1115,0.0764,0.0764,0.0628,0.0327,0.0131,0.0086,0.0462,0.8
0.08,Service-level (SLA-bound),0.1426,0.096,0.096,0.0772,0.0339,0.009,0.0043,0.0506,0.8
0.08,Overtime-averse,0.167,0.1223,0.1223,0.1038,0.0598,0.0297,0.0223,0.045,0.8
0.08,Stability-driven,0.3008,0.2534,0.2534,0.2321,0.1764,0.1278,0.1128,0.074,0.9
0.08,Worst-case (regulatory),0.1652,0.1102,0.1102,0.0876,0.0351,0.0071,0.0026,0.0585,0.8
0.15,Cost-driven (budget-bound),0.0141,0.0049,0.0011,0.0001,0.002,0.02,0.0414,0.074,0.5
0.15,Balanced,0.1437,0.1084,0.0925,0.0718,0.0463,0.0169,0.0116,0.0074,0.9
0.15,Service-level (SLA-bound),0.1764,0.1334,0.1113,0.0859,0.0524,0.0139,0.0073,0.0091,0.8
0.15,Overtime-averse,0.2137,0.1689,0.1485,0.1207,0.0851,0.0387,0.024,0.0072,0.9
0.15,Stability-driven,0.422,0.3665,0.3463,0.3082,0.2611,0.1855,0.1469,0.081,0.9
0.15,Worst-case (regulatory),0.1963,0.1481,0.1213,0.0929,0.0541,0.0102,0.0037,0.0125,0.8
0.25,Cost-driven (budget-bound),0.0191,0.0107,0.0055,0.0001,0.0068,0.0199,0.0335,0.1116,0.5
0.25,Balanced,0.2179,0.1883,0.1599,0.1097,0.0316,0.0087,0.0018,0.0481,0.8
0.25,Service-level (SLA-bound),0.285,0.2453,0.2063,0.1388,0.0367,0.0092,0.0011,0.0478,0.8
0.25,Overtime-averse,0.3025,0.2649,0.2279,0.1612,0.0522,0.0164,0.0023,0.0375,0.8
0.25,Stability-driven,0.4112,0.3725,0.3339,0.2568,0.1112,0.0483,0.0162,0.0187,0.8
0.25,Worst-case (regulatory),0.3311,0.2838,0.2368,0.157,0.0387,0.0091,0.0009,0.0496,0.8
