data_status,role_id,profile,experience_years_assumed,condition_order,episode,condition,w_cost_assumed,w_tail_assumed,w_stability_assumed,regret_normalized_scripted,decision_time_s_scripted,confidence_1_7_scripted,cites_tail_or_workforce_scripted,dial_moves_scripted,selected_theta_scripted,sus_0_100_scripted
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE01,cost-driven,10.9,AB,1,A_nominal,0.8,0.15,0.05,0.0843,86,6,0,0,,
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE01,cost-driven,10.9,AB,1,B_portfolio,0.8,0.15,0.05,0.0802,85,5,1,3,0.32,56
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE01,cost-driven,10.9,AB,2,A_nominal,0.8,0.15,0.05,0.0363,80,3,1,0,,
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE01,cost-driven,10.9,AB,2,B_portfolio,0.8,0.15,0.05,0.0344,127,5,1,1,0.4,56
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE01,cost-driven,10.9,AB,3,A_nominal,0.8,0.15,0.05,0.0625,86,5,1,0,,
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE01,cost-driven,10.9,AB,3,B_portfolio,0.8,0.15,0.05,0.0687,123,6,0,1,0.26,56
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE01,cost-driven,10.9,AB,4,A_nominal,0.8,0.15,0.05,0.0565,87,5,1,0,,
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE01,cost-driven,10.9,AB,4,B_portfolio,0.8,0.15,0.05,0.0663,112,5,0,3,0.32,56
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE02,balanced,15.4,BA,1,A_nominal,0.4,0.4,0.2,0.2645,81,5,0,0,,
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE02,balanced,15.4,BA,1,B_portfolio,0.4,0.4,0.2,0.2511,108,4,0,3,0.53,68
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE02,balanced,15.4,BA,2,A_nominal,0.4,0.4,0.2,0.1967,84,6,1,0,,
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE02,balanced,15.4,BA,2,B_portfolio,0.4,0.4,0.2,0.1318,124,3,1,2,0.46,68
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE02,balanced,15.4,BA,3,A_nominal,0.4,0.4,0.2,0.2174,99,5,0,0,,
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE02,balanced,15.4,BA,3,B_portfolio,0.4,0.4,0.2,0.1656,111,5,0,2,0.6,68
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE02,balanced,15.4,BA,4,A_nominal,0.4,0.4,0.2,0.231,110,4,0,0,,
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE02,balanced,15.4,BA,4,B_portfolio,0.4,0.4,0.2,0.1571,131,5,1,4,0.53,68
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE03,service-level,2.6,AB,1,A_nominal,0.2,0.65,0.15,0.23,95,6,1,0,,
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE03,service-level,2.6,AB,1,B_portfolio,0.2,0.65,0.15,0.1253,111,6,1,4,0.69,84
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE03,service-level,2.6,AB,2,A_nominal,0.2,0.65,0.15,0.221,85,6,1,0,,
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE03,service-level,2.6,AB,2,B_portfolio,0.2,0.65,0.15,0.1329,132,6,1,2,0.71,84
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE03,service-level,2.6,AB,3,A_nominal,0.2,0.65,0.15,0.1955,103,5,1,0,,
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE03,service-level,2.6,AB,3,B_portfolio,0.2,0.65,0.15,0.1232,129,5,1,2,0.75,84
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE03,service-level,2.6,AB,4,A_nominal,0.2,0.65,0.15,0.2361,101,6,0,0,,
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE03,service-level,2.6,AB,4,B_portfolio,0.2,0.65,0.15,0.135,150,6,1,4,0.46,84
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE04,overtime-averse,15.7,BA,1,A_nominal,0.25,0.5,0.25,0.2691,79,4,1,0,,
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE04,overtime-averse,15.7,BA,1,B_portfolio,0.25,0.5,0.25,0.1795,92,6,1,2,0.65,88
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE04,overtime-averse,15.7,BA,2,A_nominal,0.25,0.5,0.25,0.2902,77,5,1,0,,
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE04,overtime-averse,15.7,BA,2,B_portfolio,0.25,0.5,0.25,0.1829,128,6,1,1,0.54,88
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE04,overtime-averse,15.7,BA,3,A_nominal,0.25,0.5,0.25,0.2498,91,7,1,0,,
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE04,overtime-averse,15.7,BA,3,B_portfolio,0.25,0.5,0.25,0.1565,123,5,1,4,0.75,88
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE04,overtime-averse,15.7,BA,4,A_nominal,0.25,0.5,0.25,0.2488,89,6,0,0,,
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE04,overtime-averse,15.7,BA,4,B_portfolio,0.25,0.5,0.25,0.1769,126,5,1,3,0.65,88
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE05,stability-driven,9.3,AB,1,A_nominal,0.25,0.25,0.5,0.3114,79,4,0,0,,
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE05,stability-driven,9.3,AB,1,B_portfolio,0.25,0.25,0.5,0.241,93,5,1,2,0.61,71
SCRIPTED_REHEARSAL_NOT_HUMAN_DATA,ROLE05,stability-driven,9.3,AB,2,A_nominal,0.25,0.25,0.5,0.2854,91,5,1,0,,
