instance,library,n,method,f1,f2,f3,p95,hv,ood
X-n101-k25,CVRPLIB-X,100,Classical heuristic,31523.6999,35042.8491,2401.8981,35866.564,1.061,37.2154
X-n101-k25,CVRPLIB-X,100,Deterministic AHD,31244.0419,34751.9158,2427.765,35594.851,1.1025,37.227
X-n101-k25,CVRPLIB-X,100,MO AHD (no fuzzy risk),35261.0943,39294.2941,2729.084,40151.0541,1.1025,37.8883
X-n101-k25,CVRPLIB-X,100,C-R-EoH,31244.0419,34751.9158,2427.765,35594.851,1.1025,37.227
X-n106-k14,CVRPLIB-X,105,Classical heuristic,29371.1729,32700.6624,2137.2122,33583.0658,1.092,35.9389
X-n106-k14,CVRPLIB-X,105,Deterministic AHD,29371.1729,32700.6624,2137.2122,33583.0658,1.092,35.9389
X-n106-k14,CVRPLIB-X,105,MO AHD (no fuzzy risk),30053.765,33410.3158,2156.8098,34321.012,1.0972,35.5784
X-n106-k14,CVRPLIB-X,105,C-R-EoH,29504.2484,32573.3146,1999.7432,33262.9343,1.1023,34.3177
X-n110-k13,CVRPLIB-X,109,Classical heuristic,17235.9179,19013.8333,1229.9049,19402.9358,1.0938,38.8072
X-n110-k13,CVRPLIB-X,109,Deterministic AHD,17222.8061,19053.83,1257.6519,19468.7531,1.0931,39.5429
X-n110-k13,CVRPLIB-X,109,MO AHD (no fuzzy risk),18623.1234,20547.9956,1324.8206,20946.3774,1.1025,38.6183
X-n110-k13,CVRPLIB-X,109,C-R-EoH,17212.2394,18994.1627,1231.9829,19382.8098,1.1025,38.8849
X-n115-k10,CVRPLIB-X,114,Classical heuristic,14629.8422,16274.9139,1128.7469,16759.4905,1.0869,40.0663
X-n115-k10,CVRPLIB-X,114,Deterministic AHD,14614.8806,16266.8235,1132.0496,16753.2591,1.0951,40.1003
X-n115-k10,CVRPLIB-X,114,MO AHD (no fuzzy risk),15602.3081,17325.2876,1168.8485,17670.212,1.0991,39.7825
X-n115-k10,CVRPLIB-X,114,C-R-EoH,14635.8266,16234.502,1101.6947,16655.8612,1.1024,39.2571
X-n120-k6,CVRPLIB-X,119,Classical heuristic,15668.6398,17350.2303,1201.2112,17582.3963,1.0022,38.7984
X-n120-k6,CVRPLIB-X,119,Deterministic AHD,15462.2009,17095.6646,1147.5601,17444.9714,1.0939,38.3849
X-n120-k6,CVRPLIB-X,119,MO AHD (no fuzzy risk),16162.0042,17864.2181,1189.7169,18066.2955,1.0955,38.9229
X-n120-k6,CVRPLIB-X,119,C-R-EoH,15472.057,17037.1437,1118.4792,17345.1416,1.1025,37.1564
X-n125-k30,CVRPLIB-X,124,Classical heuristic,64784.9961,74360.5519,6670.3537,76676.5539,1.0604,42.8673
X-n125-k30,CVRPLIB-X,124,Deterministic AHD,64315.8618,73343.2264,6247.5555,75629.7503,1.1023,41.7077
X-n125-k30,CVRPLIB-X,124,MO AHD (no fuzzy risk),65921.7616,75615.6986,6781.882,78208.0385,1.1025,42.4395
X-n125-k30,CVRPLIB-X,124,C-R-EoH,64315.8618,73343.2264,6247.5555,75629.7503,1.1025,41.7077
X-n129-k18,CVRPLIB-X,128,Classical heuristic,33096.8315,37021.0703,2723.5075,37697.7234,1.0017,41.2482
X-n129-k18,CVRPLIB-X,128,Deterministic AHD,32669.9227,36366.1373,2547.1404,37356.0642,1.085,41.1725
X-n129-k18,CVRPLIB-X,128,MO AHD (no fuzzy risk),34764.3619,38742.7475,2751.5365,39278.794,1.1025,41.0826
X-n129-k18,CVRPLIB-X,128,C-R-EoH,32652.9625,36161.5523,2453.6752,36967.8972,1.1025,40.1446
X-n134-k13,CVRPLIB-X,133,Classical heuristic,12641.8776,14208.5512,1055.1445,14461.2813,1.0419,42.8358
X-n134-k13,CVRPLIB-X,133,Deterministic AHD,12514.1352,14066.1015,1050.8129,14305.3908,1.1025,42.3484
X-n134-k13,CVRPLIB-X,133,MO AHD (no fuzzy risk),12825.8532,14423.9005,1089.6475,14616.0335,1.1025,43.3367
X-n134-k13,CVRPLIB-X,133,C-R-EoH,12514.1352,14066.1015,1050.8129,14305.3908,1.1025,42.3484
X-n139-k10,CVRPLIB-X,138,Classical heuristic,15758.2653,17404.2209,1097.8965,17642.4974,0.9113,37.2309
X-n139-k10,CVRPLIB-X,138,Deterministic AHD,15348.9826,16919.0241,1052.0056,17161.0011,1.1025,36.6087
X-n139-k10,CVRPLIB-X,138,MO AHD (no fuzzy risk),15986.3603,17653.3166,1113.9178,17859.4264,1.1025,37.481
X-n139-k10,CVRPLIB-X,138,C-R-EoH,15348.9826,16919.0241,1052.0056,17161.0011,1.1025,36.6087
X-n143-k7,CVRPLIB-X,142,Classical heuristic,19054.1579,21297.2811,1546.8378,21840.2596,0.6975,40.778
X-n143-k7,CVRPLIB-X,142,Deterministic AHD,17931.0205,19904.7223,1368.0288,20327.852,1.0835,39.3798
X-n143-k7,CVRPLIB-X,142,MO AHD (no fuzzy risk),19032.5928,21249.2699,1526.9859,21737.2569,1.0835,41.0885
X-n143-k7,CVRPLIB-X,142,C-R-EoH,17950.1989,19816.2403,1295.9165,20125.7786,1.1023,37.8253
X-n148-k46,CVRPLIB-X,147,Classical heuristic,49336.4046,55111.4041,3961.823,56346.5663,1.0754,41.0724
X-n148-k46,CVRPLIB-X,147,Deterministic AHD,49020.6004,54753.1984,3890.5314,56065.2689,1.1,40.924
X-n148-k46,CVRPLIB-X,147,MO AHD (no fuzzy risk),49916.7072,55725.8203,3952.2675,57094.4213,1.1003,40.9516
X-n148-k46,CVRPLIB-X,147,C-R-EoH,49020.76,54702.6293,3861.3205,56072.5091,1.1025,40.7823
X-n153-k22,CVRPLIB-X,152,Classical heuristic,24670.8442,27418.3965,2038.551,27842.5055,1.0893,40.0345
X-n153-k22,CVRPLIB-X,152,Deterministic AHD,24651.5871,27357.5837,2009.6865,27706.5163,1.1025,39.5331
X-n153-k22,CVRPLIB-X,152,MO AHD (no fuzzy risk),30796.0489,34467.835,2646.3107,35422.5178,1.1025,40.8644
X-n153-k22,CVRPLIB-X,152,C-R-EoH,24651.5871,27357.5837,2009.6865,27706.5163,1.1025,39.5331
X-n157-k13,CVRPLIB-X,156,Classical heuristic,19276.9352,21501.0314,1458.3302,22157.5708,1.0633,39.327
X-n157-k13,CVRPLIB-X,156,Deterministic AHD,19154.3891,21286.1559,1404.4958,21893.4336,1.1025,38.2636
X-n157-k13,CVRPLIB-X,156,MO AHD (no fuzzy risk),19154.3891,21286.1559,1404.4958,21893.4336,1.1025,38.2636
X-n157-k13,CVRPLIB-X,156,C-R-EoH,19154.3891,21286.1559,1404.4958,21893.4336,1.1025,38.2636
X-n162-k11,CVRPLIB-X,161,Classical heuristic,16745.8389,18454.9767,1177.9723,18904.5465,0.932,38.8643
X-n162-k11,CVRPLIB-X,161,Deterministic AHD,16344.1462,18083.185,1173.2784,18518.9089,1.1025,39.3434
X-n162-k11,CVRPLIB-X,161,MO AHD (no fuzzy risk),16787.8509,18589.8826,1233.4527,19047.9672,1.1025,40.0668
X-n162-k11,CVRPLIB-X,161,C-R-EoH,16344.1462,18083.185,1173.2784,18518.9089,1.1025,39.3434
X-n167-k10,CVRPLIB-X,166,Classical heuristic,23678.0594,26087.2858,1591.7274,26482.6603,1.0948,37.7329
X-n167-k10,CVRPLIB-X,166,Deterministic AHD,23658.892,26176.0297,1715.2884,26832.6851,1.0869,39.0026
X-n167-k10,CVRPLIB-X,166,MO AHD (no fuzzy risk),24349.8086,26921.4531,1712.2755,27307.2832,1.0869,38.6817
X-n167-k10,CVRPLIB-X,166,C-R-EoH,23672.2667,26059.7515,1590.4488,26470.7318,1.1025,37.7127
X-n172-k51,CVRPLIB-X,171,Classical heuristic,52599.7324,58068.3584,3977.0475,59436.0399,1.0788,38.1937
X-n172-k51,CVRPLIB-X,171,Deterministic AHD,52249.912,57706.9442,3955.2329,59167.6327,1.1013,38.2889
X-n172-k51,CVRPLIB-X,171,MO AHD (no fuzzy risk),52830.5222,58427.1991,4014.6443,59871.5273,1.1025,38.7583
X-n172-k51,CVRPLIB-X,171,C-R-EoH,52246.0044,57674.8038,3915.6814,59229.4925,1.1025,38.2749
X-n176-k26,CVRPLIB-X,175,Classical heuristic,57139.0173,63141.4316,4215.8459,64289.1714,1.0588,40.1283
X-n176-k26,CVRPLIB-X,175,Deterministic AHD,56878.7177,63323.1446,4463.8088,64404.0729,1.0626,41.0345
X-n176-k26,CVRPLIB-X,175,MO AHD (no fuzzy risk),64542.8355,71905.4559,4917.8854,73179.8891,1.07,39.808
X-n176-k26,CVRPLIB-X,175,C-R-EoH,56800.6808,62710.9095,4213.883,64002.9716,1.1024,40.1142
X-n181-k23,CVRPLIB-X,180,Classical heuristic,28957.1324,32081.1351,2176.863,32559.3081,1.0744,39.0097
X-n181-k23,CVRPLIB-X,180,Deterministic AHD,28834.2691,31941.7063,2174.8617,32493.9675,1.0951,39.2774
X-n181-k23,CVRPLIB-X,180,MO AHD (no fuzzy risk),36247.9636,40127.683,2701.7426,40745.4634,1.0951,39.024
X-n181-k23,CVRPLIB-X,180,C-R-EoH,28802.9456,31851.7587,2148.1111,32305.0258,1.1025,38.6288
X-n186-k15,CVRPLIB-X,185,Classical heuristic,27760.9362,30480.1942,1939.3647,31177.5955,1.0257,37.4959
X-n186-k15,CVRPLIB-X,185,Deterministic AHD,27319.6243,30111.9034,1953.6214,30628.6481,1.1025,38.3584
X-n186-k15,CVRPLIB-X,185,MO AHD (no fuzzy risk),29206.6969,32105.314,2062.3198,32817.0948,1.1025,37.4727
X-n186-k15,CVRPLIB-X,185,C-R-EoH,27319.6243,30111.9034,1953.6214,30628.6481,1.1025,38.3584
X-n190-k8,CVRPLIB-X,189,Classical heuristic,19426.1281,21934.3811,1704.6593,22366.1904,0.9784,37.2241
X-n190-k8,CVRPLIB-X,189,Deterministic AHD,19234.5402,21426.413,1497.828,21840.2579,1.0582,35.1669
X-n190-k8,CVRPLIB-X,189,MO AHD (no fuzzy risk),19916.452,22148.5643,1528.9677,22618.3616,1.0843,36.7628
X-n190-k8,CVRPLIB-X,189,C-R-EoH,19361.3951,21144.6277,1275.1972,21617.5911,1.1017,32.4491
X-n195-k51,CVRPLIB-X,194,Classical heuristic,49621.2977,55058.3751,3612.5337,56039.2753,1.1003,39.0929
X-n195-k51,CVRPLIB-X,194,Deterministic AHD,49587.5365,55105.124,3669.1084,56339.2748,1.1005,39.5456
X-n195-k51,CVRPLIB-X,194,MO AHD (no fuzzy risk),51458.3637,57262.1603,3866.7328,58805.8326,1.1025,39.8958
X-n195-k51,CVRPLIB-X,194,C-R-EoH,49583.2811,55048.6735,3617.5376,56115.6716,1.1025,39.2028
X-n200-k36,CVRPLIB-X,199,Classical heuristic,66559.5767,74125.2746,4997.038,76053.2521,1.0906,40.4731
X-n200-k36,CVRPLIB-X,199,Deterministic AHD,66390.8068,73830.1291,4865.8665,75656.1957,1.1025,39.7829
X-n200-k36,CVRPLIB-X,199,MO AHD (no fuzzy risk),72271.0303,80444.2316,5438.7413,82447.4897,1.1025,40.7538
X-n200-k36,CVRPLIB-X,199,C-R-EoH,66390.8068,73830.1291,4865.8665,75656.1957,1.1025,39.7829
X-n204-k19,CVRPLIB-X,203,Classical heuristic,23208.9778,25803.271,1754.8324,26082.0618,0.8538,39.0955
X-n204-k19,CVRPLIB-X,203,Deterministic AHD,22404.7488,24874.3021,1666.91,25110.1038,1.1004,38.9916
X-n204-k19,CVRPLIB-X,203,MO AHD (no fuzzy risk),23128.3256,25736.7784,1735.8915,26170.4557,1.1025,39.1261
X-n204-k19,CVRPLIB-X,203,C-R-EoH,22430.6949,24856.7158,1636.523,25219.8389,1.1025,38.6198
X-n209-k16,CVRPLIB-X,208,Classical heuristic,34745.0949,38328.6674,2407.7947,39157.3323,1.1025,37.99
X-n209-k16,CVRPLIB-X,208,Deterministic AHD,34757.9451,38393.7984,2452.4474,39247.4284,1.0966,38.3319
X-n209-k16,CVRPLIB-X,208,MO AHD (no fuzzy risk),35284.5412,38979.4917,2466.9121,39729.3958,1.1014,38.3449
X-n209-k16,CVRPLIB-X,208,C-R-EoH,34745.0949,38328.6674,2407.7947,39157.3323,1.1025,37.99
X-n214-k11,CVRPLIB-X,213,Classical heuristic,13013.7671,14628.6061,1103.9754,15087.0125,0.9241,42.5017
X-n214-k11,CVRPLIB-X,213,Deterministic AHD,12791.0475,14187.0285,939.6805,14480.6596,1.1025,39.3594
X-n214-k11,CVRPLIB-X,213,MO AHD (no fuzzy risk),13191.0701,14766.8595,1077.1588,15214.2578,1.1025,41.1603
X-n214-k11,CVRPLIB-X,213,C-R-EoH,12791.0475,14187.0285,939.6805,14480.6596,1.1025,39.3594
X-n219-k73,CVRPLIB-X,218,Classical heuristic,128933.6696,144160.3821,10427.2355,148190.9887,1.0939,39.82
X-n219-k73,CVRPLIB-X,218,Deterministic AHD,128715.5419,143901.6239,10403.6465,147840.5975,1.1016,39.7485
X-n219-k73,CVRPLIB-X,218,MO AHD (no fuzzy risk),187889.5904,210121.3385,15240.4801,216443.4649,1.1016,39.8848
X-n219-k73,CVRPLIB-X,218,C-R-EoH,128702.3094,143858.2871,10371.2868,147816.6224,1.1025,39.7007
X-n223-k34,CVRPLIB-X,222,Classical heuristic,45700.9529,50723.0625,3379.2538,51539.8243,1.0909,39.2596
X-n223-k34,CVRPLIB-X,222,Deterministic AHD,45550.3952,50671.7499,3405.0605,51612.9063,1.1009,39.3551
X-n223-k34,CVRPLIB-X,222,MO AHD (no fuzzy risk),47162.7699,52349.3965,3489.7098,53279.0654,1.1009,38.9854
X-n223-k34,CVRPLIB-X,222,C-R-EoH,45569.9395,50640.9337,3369.538,51593.6914,1.1025,39.2086
X-n228-k23,CVRPLIB-X,227,Classical heuristic,29386.3885,32417.2496,2121.5078,32925.3006,1.098,38.9097
X-n228-k23,CVRPLIB-X,227,Deterministic AHD,29356.3893,32391.4651,2120.1495,32880.575,1.1025,38.9858
X-n228-k23,CVRPLIB-X,227,MO AHD (no fuzzy risk),30968.3155,34200.8085,2230.7017,34886.0533,1.1025,38.8427
X-n228-k23,CVRPLIB-X,227,C-R-EoH,29356.3893,32391.4651,2120.1495,32880.575,1.1025,38.9858
X-n233-k16,CVRPLIB-X,232,Classical heuristic,21998.3177,24094.65,1446.7998,24455.3087,1.1021,36.0092
X-n233-k16,CVRPLIB-X,232,Deterministic AHD,21996.8224,24093.1434,1446.7227,24453.7283,1.1025,36.0099
X-n233-k16,CVRPLIB-X,232,MO AHD (no fuzzy risk),22644.9232,24840.0739,1524.0242,25270.5882,1.1025,36.3165
X-n233-k16,CVRPLIB-X,232,C-R-EoH,21996.8224,24093.1434,1446.7227,24453.7283,1.1025,36.0099
X-n237-k14,CVRPLIB-X,236,Classical heuristic,32267.3404,35632.102,2319.9978,36094.1249,0.9876,38.4269
X-n237-k14,CVRPLIB-X,236,Deterministic AHD,31619.0089,34911.3347,2276.5708,35349.617,1.1019,38.2414
X-n237-k14,CVRPLIB-X,236,MO AHD (no fuzzy risk),32223.9935,35483.4329,2218.1082,36130.9992,1.1025,37.6733
X-n237-k14,CVRPLIB-X,236,C-R-EoH,31619.0089,34911.3347,2276.5708,35349.617,1.1025,38.2414
X-n242-k48,CVRPLIB-X,241,Classical heuristic,92390.597,102755.3066,6885.2463,104678.8512,1.0885,40.0414
X-n242-k48,CVRPLIB-X,241,Deterministic AHD,92246.8193,102361.4906,6747.5028,104532.2393,1.1024,39.7494
X-n242-k48,CVRPLIB-X,241,MO AHD (no fuzzy risk),93269.7213,103579.5508,6869.7313,105344.931,1.1024,39.9232
X-n242-k48,CVRPLIB-X,241,C-R-EoH,92246.8193,102361.4906,6747.5028,104532.2393,1.1025,39.7494
X-n247-k50,CVRPLIB-X,246,Classical heuristic,44823.5682,50525.3532,4001.615,52082.7849,1.0668,42.0335
X-n247-k50,CVRPLIB-X,246,Deterministic AHD,44673.5259,51155.8245,4527.7041,52952.7202,1.0223,42.9501
X-n247-k50,CVRPLIB-X,246,MO AHD (no fuzzy risk),54562.4633,61491.1051,4677.7119,63256.2163,1.0728,41.9814
X-n247-k50,CVRPLIB-X,246,C-R-EoH,44780.4493,50317.263,3865.678,51756.998,1.1019,41.5895
X-n251-k28,CVRPLIB-X,250,Classical heuristic,43833.8,47948.5985,2838.6679,48906.4839,1.0373,35.4198
X-n251-k28,CVRPLIB-X,250,Deterministic AHD,43345.7064,47377.0454,2760.1295,48252.9439,1.1025,35.2266
X-n251-k28,CVRPLIB-X,250,MO AHD (no fuzzy risk),46216.3722,50682.7146,3033.7138,51826.4302,1.1025,35.6077
X-n251-k28,CVRPLIB-X,250,C-R-EoH,43345.7064,47377.0454,2760.1295,48252.9439,1.1025,35.2266
X-n256-k16,CVRPLIB-X,255,Classical heuristic,22432.9208,24875.4858,1680.087,25219.7085,0.9073,39.5462
X-n256-k16,CVRPLIB-X,255,Deterministic AHD,21785.5948,24197.7563,1663.4881,24616.9708,1.1007,39.9917
X-n256-k16,CVRPLIB-X,255,MO AHD (no fuzzy risk),22931.2946,25435.6789,1733.788,25872.7376,1.1007,39.8019
X-n256-k16,CVRPLIB-X,255,C-R-EoH,21785.5948,24197.7563,1663.4881,24616.9708,1.1025,39.9917
X-n261-k13,CVRPLIB-X,260,Classical heuristic,31246.0445,34729.3704,2360.2745,35659.0124,1.0256,39.718
X-n261-k13,CVRPLIB-X,260,Deterministic AHD,31002.6291,34724.2609,2499.3221,35641.0614,1.0521,41.012
X-n261-k13,CVRPLIB-X,260,MO AHD (no fuzzy risk),32071.6615,35507.9636,2336.2999,36373.4475,1.1008,39.5849
X-n261-k13,CVRPLIB-X,260,C-R-EoH,30978.3908,34207.3513,2241.8044,35059.9773,1.1024,38.6994
X-n266-k58,CVRPLIB-X,265,Classical heuristic,85634.1822,95365.5955,6395.6069,97596.9433,1.0644,38.7519
X-n266-k58,CVRPLIB-X,265,Deterministic AHD,85008.7788,94562.0524,6286.1353,96715.18,1.1015,38.7695
