instance,library,n,method,f1,f2,f3,p95,hv,ood
C101,Solomon,100,Classical heuristic,952.9921,1053.5859,69.1425,1076.3193,1.0845,37.7255
C101,Solomon,100,Deterministic AHD,950.6009,1051.3804,69.1192,1075.8283,1.0974,37.847
C101,Solomon,100,MO AHD (no fuzzy risk),1134.8231,1269.3573,89.3082,1307.0588,1.1025,39.6369
C101,Solomon,100,C-R-EoH,950.1202,1049.4751,67.4427,1074.3731,1.1025,37.0518
C201,Solomon,100,Classical heuristic,673.3615,743.9674,49.5527,763.6427,0.9198,39.0803
C201,Solomon,100,Deterministic AHD,659.1786,728.1562,48.1492,746.8043,1.1025,39.1207
C201,Solomon,100,MO AHD (no fuzzy risk),688.0548,762.6771,51.6408,782.1125,1.1025,39.7367
C201,Solomon,100,C-R-EoH,659.1786,728.1562,48.1492,746.8043,1.1025,39.1207
R101,Solomon,100,Classical heuristic,1006.1367,1116.0043,75.3882,1147.9392,0.9202,38.346
R101,Solomon,100,Deterministic AHD,986.4514,1094.5026,74.8981,1122.4118,1.1025,38.3559
R101,Solomon,100,MO AHD (no fuzzy risk),1022.0273,1136.1012,77.5892,1174.5802,1.1025,38.4956
R101,Solomon,100,C-R-EoH,986.4514,1094.5026,74.8981,1122.4118,1.1025,38.3559
R201,Solomon,100,Classical heuristic,776.3523,864.5632,59.3683,893.1388,0.4395,39.5484
R201,Solomon,100,Deterministic AHD,738.7064,821.4052,56.5881,848.8529,1.1025,39.1437
R201,Solomon,100,MO AHD (no fuzzy risk),748.1771,833.5059,58.2756,864.6364,1.1025,39.243
R201,Solomon,100,C-R-EoH,738.7064,821.4052,56.5881,848.8529,1.1025,39.1437
RC101,Solomon,100,Classical heuristic,1179.4551,1312.8264,90.7419,1340.0542,0.9393,39.017
RC101,Solomon,100,Deterministic AHD,1150.8476,1275.8319,85.3061,1303.8395,1.1025,38.4239
RC101,Solomon,100,MO AHD (no fuzzy risk),1247.2823,1385.5561,94.4481,1414.7002,1.1025,38.7345
RC101,Solomon,100,C-R-EoH,1150.8476,1275.8319,85.3061,1303.8395,1.1025,38.4239
RC201,Solomon,100,Classical heuristic,779.9782,871.6364,61.9636,889.3555,0.3745,40.4949
RC201,Solomon,100,Deterministic AHD,737.0624,821.9327,57.9103,839.7769,1.1025,40.4124
RC201,Solomon,100,MO AHD (no fuzzy risk),751.9213,837.6454,58.3942,862.1117,1.1025,39.9967
RC201,Solomon,100,C-R-EoH,737.0624,821.9327,57.9103,839.7769,1.1025,40.4124
