instance,library,n,method,f1,f2,f3,p95,hv,ood
C101,Solomon,100,Classical heuristic,18935.9573,21584.5644,1764.3034,22386.3411,0.8047,60.8053
C101,Solomon,100,Deterministic AHD,19132.1719,22016.939,1929.3463,22833.8716,0.6484,61.9784
C101,Solomon,100,MO AHD (no fuzzy risk),18956.1798,21137.0715,1458.9814,21724.6591,1.0191,56.0015
C101,Solomon,100,C-R-EoH,18989.26,20669.8513,1128.5021,21054.3121,1.1007,48.1796
C201,Solomon,100,Classical heuristic,19305.8805,21892.091,1776.3525,22658.6561,0.7264,60.3847
C201,Solomon,100,Deterministic AHD,19433.2425,22217.9613,1904.5059,23027.3624,0.6133,61.9296
C201,Solomon,100,MO AHD (no fuzzy risk),19371.5975,21614.7884,1530.3726,22396.676,0.8881,54.3824
C201,Solomon,100,C-R-EoH,19158.1201,20876.6682,1167.8732,21345.6871,1.1013,50.734
R101,Solomon,100,Classical heuristic,5653.2919,6567.4646,627.3499,6870.3341,0.4899,60.1152
R101,Solomon,100,Deterministic AHD,5643.952,6555.6761,624.4328,6865.6848,0.5048,60.393
R101,Solomon,100,MO AHD (no fuzzy risk),5640.9655,6549.2289,622.3825,6865.7232,0.7973,60.4601
R101,Solomon,100,C-R-EoH,5557.4916,6051.3575,336.3397,6223.4363,1.1,47.9697
RC101,Solomon,100,Classical heuristic,7054.4896,8257.5283,804.7519,8524.3758,0.4812,62.766
RC101,Solomon,100,Deterministic AHD,7054.4896,8257.5283,804.7519,8524.3758,0.4812,62.766
RC101,Solomon,100,MO AHD (no fuzzy risk),7028.4481,8126.2549,718.9074,8369.5204,0.8522,61.0178
RC101,Solomon,100,C-R-EoH,6971.644,7590.403,410.2691,7722.4014,1.0974,46.0662
