seed,method,f1,f2,f3,p95,hv,ood_degradation,lam,slack,balance,scenario_costs
0,Classical heuristic,757.7525901399371,874.9441621505066,79.66389570081874,923.4453498201951,1.0696399602416269,46.356589824727344,1.0,0.0,0.0,685.220;1054.107;805.965;594.466;786.162;873.697;617.154;698.199;611.868;710.146;754.019;721.105;686.010;685.220;685.220;685.220;790.718;830.015;929.172;752.968;818.314;766.550;870.100;923.144;752.893;773.291;649.608;700.924;828.670;623.485;739.595;759.882;832.249;778.836;605.150;787.595;831.633;829.303;603.303;878.926
0,Deterministic AHD,754.8185934049586,873.2488380854862,80.42364199734145,922.4770702535566,1.1025,46.53603561970461,1.1637900905868879,0.0,0.019019919694100208,682.558;1050.843;802.701;584.662;783.049;876.167;609.136;695.688;609.357;707.635;753.068;716.658;685.059;682.558;682.558;682.558;793.772;831.045;928.479;752.779;812.897;766.108;869.227;922.161;748.954;766.376;645.670;694.661;821.744;620.021;734.828;752.659;830.681;774.043;600.033;784.991;828.504;826.748;601.616;880.491
0,MO AHD (no fuzzy risk),802.0948826771806,936.4473907757766,86.93618738364279,984.073833528524,1.1025,48.126378117166134,0.7183840877229051,0.10721690031572179,0.21623924861700553,722.125;1128.982;828.420;646.746;793.810;913.310;665.590;764.102;626.999;776.049;791.827;781.099;710.713;722.125;722.125;722.125;796.930;872.192;996.179;806.009;894.426;790.750;904.556;983.437;790.317;841.628;685.180;742.054;923.263;643.965;771.001;840.254;883.673;820.352;640.702;802.399;908.027;903.831;601.032;925.493
0,C-R-EoH,754.8185934049586,873.2488380854862,80.42364199734143,922.4770702535566,1.1025,46.53603561970461,1.1263387166232395,0.0,0.014292311758773792,682.558;1050.843;802.701;584.662;783.049;876.167;609.136;695.688;609.357;707.635;753.068;716.658;685.059;682.558;682.558;682.558;793.772;831.045;928.479;752.779;812.897;766.108;869.227;922.161;748.954;766.376;645.670;694.661;821.744;620.021;734.828;752.659;830.681;774.043;600.033;784.991;828.504;826.748;601.616;880.491
1,Classical heuristic,662.2177513814013,766.5246375874457,73.72806190606892,801.6307102376014,1.1025,55.28646634264967,1.0,0.0,0.0,590.261;607.123;823.401;494.493;631.201;652.350;758.613;527.851;646.454;598.692;619.555;556.888;601.740;590.261;590.261;590.261;634.110;714.822;552.173;704.251;683.737;752.953;692.297;799.993;847.350;657.319;708.596;698.691;703.147;701.572;769.911;632.183;755.256;711.893;558.790;674.708;526.996;755.023;800.485;573.048
1,Deterministic AHD,662.2177513814013,766.5246375874457,73.72806190606892,801.6307102376014,1.1025,55.28646634264967,1.0,0.0,0.0,590.261;607.123;823.401;494.493;631.201;652.350;758.613;527.851;646.454;598.692;619.555;556.888;601.740;590.261;590.261;590.261;634.110;714.822;552.173;704.251;683.737;752.953;692.297;799.993;847.350;657.319;708.596;698.691;703.147;701.572;769.911;632.183;755.256;711.893;558.790;674.708;526.996;755.023;800.485;573.048
1,MO AHD (no fuzzy risk),759.5746593287253,878.9491401751426,85.04034645270778,902.6181410678053,1.1025,55.89450345280531,0.4,0.14673122598536412,0.11526775768467684,680.203;680.295;929.281;554.574;708.566;744.427;860.508;602.862;728.010;680.249;716.251;639.365;687.489;680.203;680.203;680.203;740.554;840.295;631.224;801.970;782.200;869.378;787.406;899.545;975.346;776.614;807.656;794.884;820.230;809.390;888.724;724.600;877.053;812.594;631.687;784.788;615.632;873.221;901.215;684.090
1,C-R-EoH,662.2177513814013,766.5246375874457,73.72806190606892,801.6307102376014,1.1025,55.28646634264967,1.0,0.0,0.0,590.261;607.123;823.401;494.493;631.201;652.350;758.613;527.851;646.454;598.692;619.555;556.888;601.740;590.261;590.261;590.261;634.110;714.822;552.173;704.251;683.737;752.953;692.297;799.993;847.350;657.319;708.596;698.691;703.147;701.572;769.911;632.183;755.256;711.893;558.790;674.708;526.996;755.023;800.485;573.048
2,Classical heuristic,671.5705077163454,795.6225411207391,83.48588297071353,835.6270070670432,0.8762973125663867,42.08208832768677,1.0,0.0,0.0,596.104;607.660;879.922;912.398;652.357;747.933;811.057;754.251;559.114;559.114;669.998;577.609;558.810;596.104;596.104;596.104;691.731;807.922;646.916;781.989;833.296;730.204;765.298;712.421;769.758;600.974;578.141;740.069;594.100;578.928;743.577;676.679;680.619;591.890;568.079;664.364;589.529;718.862;498.310;624.526
2,Deterministic AHD,663.6652089046149,773.1124739553721,74.78486500541699,812.8378872860183,1.1025,40.38010121945058,1.250413687483255,0.0,0.09297033084175048,591.697;631.343;843.337;891.598;669.218;720.754;782.516;741.648;557.896;557.896;662.014;574.797;560.919;591.697;591.697;591.697;699.919;781.373;648.854;742.648;811.233;737.752;740.074;701.809;750.141;607.305;556.011;728.115;591.137;606.479;726.915;660.248;649.880;588.140;580.616;641.406;591.593;708.956;501.413;633.869
