study,x,value,t_ms_or_s,overhead_factor
instance_size_n,20,0.031303000014304416,0.4233280001244566,13.52
instance_size_n,40,0.06624699994972616,0.8033540000269568,12.13
instance_size_n,80,0.14852300000711693,1.5841549998185656,10.67
instance_size_n,160,0.4081070001120679,3.3293310000317433,8.16
instance_size_n,320,1.248583000005965,7.2157350000452425,5.78
instance_size_n,640,4.2254340000909,15.671214000121836,3.71
ensemble_size_M,1,,0.08575800006838108,1.04
ensemble_size_M,9,,0.23227100018630153,2.83
ensemble_size_M,18,,0.39193299994622066,4.77
ensemble_size_M,37,,0.7527339998887328,9.16
ensemble_size_M,40,,0.8125179999751708,9.88
ensemble_size_M,40,,0.7948980000946904,9.67
budget_B,30,,0.027028510999798527,0.901
budget_B,60,,0.05539001400006782,0.923
budget_B,120,,0.11012024600017867,0.918
budget_B,240,,0.2360144690001107,0.983
