seed,evaluator,f1,f2,f3,p95,hv,ood
0,LLM pool + nominal evaluator,830.8314904920002,935.6039131866158,65.61591949179778,983.2511322612473,0.8675687195247695,47.672473808314244
1,LLM pool + nominal evaluator,810.6575731952001,952.3729250339447,97.99225830606471,1002.6187261714849,0.886442152008773,65.36908067319199
2,LLM pool + nominal evaluator,806.81300956031,912.1189925513312,69.14143987832473,933.8733145136217,0.9017159487470994,38.53254608937332
3,LLM pool + nominal evaluator,806.0194245541127,937.5162378651776,90.96068753219875,984.6497596621115,0.8938141875978236,68.28949029027444
4,LLM pool + nominal evaluator,950.9144839601983,1129.4506789558839,122.2372781772111,1221.1939051182082,0.9097157268286914,79.33763468429127
5,LLM pool + nominal evaluator,787.8677870552851,901.3896794099772,72.62556814014775,975.3285820468387,0.9333727679897705,59.90415507291001
6,LLM pool + nominal evaluator,849.4621297613743,999.5160500162632,92.52214760162708,1063.361526962451,0.8597446939369088,79.47424422184882
7,LLM pool + nominal evaluator,761.024420899065,853.3374954446926,63.614544719822746,865.6149152397693,0.9988222401122288,52.511421130172984
8,LLM pool + nominal evaluator,694.2871857559333,749.1190437467993,33.093577268438835,799.5901239453373,1.1025,34.98899787093386
9,LLM pool + nominal evaluator,881.1485243312421,1013.6208735072836,82.77121741074102,1059.4968432269482,1.012837877134327,72.33152379476851
10,LLM pool + nominal evaluator,850.6366901712697,986.5598966195497,88.7864885802824,1057.9791163662119,0.8586725538024724,61.483614451562936
11,LLM pool + nominal evaluator,781.774564486338,895.3970023933535,81.57466721594757,943.5531738045971,0.9256432601118648,50.199672036717516
12,LLM pool + nominal evaluator,839.0753600031667,998.1531403277409,106.82613485644251,1057.851824939747,0.8635892978407885,76.23055454144738
13,LLM pool + nominal evaluator,890.8452770830642,1048.0677895676656,100.98868271021558,1107.1468701519734,0.9082301653571883,67.79909624489193
14,LLM pool + nominal evaluator,883.5678835399856,1010.8084827354896,84.38278483011831,1057.2294580586065,1.0125635942825926,73.28286823571298
15,LLM pool + nominal evaluator,799.6959206154552,934.3003907522897,87.59217162189596,969.020746129643,0.9082655949733288,55.86344901608751
16,LLM pool + nominal evaluator,849.3912815773161,963.5193735916545,79.78463294303035,988.4942688391319,1.051557079090914,63.80148876420209
17,LLM pool + nominal evaluator,779.6931333853973,898.573454205533,80.87849764699776,947.6946448584422,0.9616659429949203,52.730310074206066
18,LLM pool + nominal evaluator,837.2827631403325,967.9342297788852,83.333858226757,1020.9306767119846,1.034645074755922,68.9590120532948
19,LLM pool + nominal evaluator,825.2322496524503,907.3766966495731,52.37224038809234,937.2149395142527,1.1025,40.59697351540033
20,LLM pool + nominal evaluator,735.6362054986399,862.5604599764898,83.42920289510899,933.9240917589977,0.9929843230671389,70.98434448339331
21,LLM pool + nominal evaluator,813.7618014705246,949.6100154632708,87.96027597736676,1015.8246421156563,0.8911059769701778,66.08538523374214
22,LLM pool + nominal evaluator,765.4810248657038,871.3216146068283,71.66682272925966,924.6193568920401,0.9713026702570188,59.51823990472834
23,LLM pool + nominal evaluator,857.2950953211646,988.5457546275217,94.03051986590381,1022.5568309059183,0.8475867014928704,75.4950796817361
24,LLM pool + nominal evaluator,894.8849538591276,1077.714289435273,122.42443902814905,1167.8000267402044,0.7519806371959931,79.68939424592767
25,LLM pool + nominal evaluator,700.705132288001,796.0357288891452,58.682252497032344,826.679005078986,1.0866169956258303,48.24805102519594
26,LLM pool + nominal evaluator,885.3687077336697,1095.4179836656758,133.67349308532891,1215.8903862884733,0.7804928338543922,70.90857103173418
27,LLM pool + nominal evaluator,780.476751003613,909.5703288125933,86.53806031711937,931.3716274319054,0.9273286530675385,62.19647709645995
28,LLM pool + nominal evaluator,938.8491509267642,1221.709913151953,182.56559677608237,1310.5618912799816,0.8025827936312762,84.64071847282494
29,LLM pool + nominal evaluator,739.4758307921416,813.0419751000409,50.549118757747365,832.8948116441466,1.0405750699687673,40.00879124400436
0,LLM pool + fuzzy MO evaluator (C-R-EoH),796.1155102704215,850.9157661310973,33.32118867226096,883.8844907567359,1.1025,40.294894494473326
1,LLM pool + fuzzy MO evaluator (C-R-EoH),787.6192536743501,867.0943570248401,53.654766162003135,897.4121792953963,1.1025,56.24008306801835
2,LLM pool + fuzzy MO evaluator (C-R-EoH),783.8406283344295,835.6453494224734,33.39347646232886,840.5644303146478,1.1025,28.691567325674917
3,LLM pool + fuzzy MO evaluator (C-R-EoH),784.1218615785601,855.406487033405,47.729407715069335,878.6629175197927,1.1025,58.96074861545477
4,LLM pool + fuzzy MO evaluator (C-R-EoH),925.0937977460004,1040.0527059982417,76.18498304250008,1102.6723864220344,1.1025,72.45251749515917
5,LLM pool + fuzzy MO evaluator (C-R-EoH),776.0255985344793,831.0844200862554,35.06217595590765,872.2723977711069,1.1025,48.16951014938708
6,LLM pool + fuzzy MO evaluator (C-R-EoH),814.8704989206232,910.2060817531163,57.64030534840142,955.0978067259686,1.1025,73.59393170004067
7,LLM pool + fuzzy MO evaluator (C-R-EoH),760.8691325883019,805.3702988517113,31.584111028123164,809.4070438849046,1.1025,38.08539661567904
8,LLM pool + fuzzy MO evaluator (C-R-EoH),694.2871857559333,749.1190437467993,33.093577268438835,799.5901239453373,1.1025,34.98899787093386
9,LLM pool + fuzzy MO evaluator (C-R-EoH),884.083916162061,963.2589948938738,51.82789210711015,995.7102609874354,1.1020151088189991,59.317079875136606
10,LLM pool + fuzzy MO evaluator (C-R-EoH),813.5705945003098,899.4731275466825,54.62540932387807,949.9165521319547,1.1024970142368211,55.320126081477746
11,LLM pool + fuzzy MO evaluator (C-R-EoH),768.1196371210707,823.3633429972647,40.51147469063831,845.8215796647913,1.1025,38.54909840785831
12,LLM pool + fuzzy MO evaluator (C-R-EoH),808.062286381088,907.0245654480032,62.532638891248595,947.9242264318018,1.1025,69.38139336807689
13,LLM pool + fuzzy MO evaluator (C-R-EoH),869.6920006353834,960.9977487554814,58.17258080372386,988.9997539090059,1.1021440445086166,59.17667640060235
14,LLM pool + fuzzy MO evaluator (C-R-EoH),883.5850483609722,960.0234469530393,52.38727603167204,995.5495659424342,1.102497078365838,60.83153562453447
15,LLM pool + fuzzy MO evaluator (C-R-EoH),782.3632328660126,855.5367477659934,45.86304364403901,879.499672988054,1.1025,45.25652481765168
16,LLM pool + fuzzy MO evaluator (C-R-EoH),860.4569613040851,935.5921946845393,53.7999040719305,941.8547803849431,1.1013962725596609,48.91105799354017
17,LLM pool + fuzzy MO evaluator (C-R-EoH),772.3050180142909,839.143695737108,44.15382476746516,871.5370639414997,1.1025,39.94829957544188
18,LLM pool + fuzzy MO evaluator (C-R-EoH),849.9549543939708,930.4615379536887,52.81885707372552,954.6739630845477,1.1007790456691695,53.49809751090603
19,LLM pool + fuzzy MO evaluator (C-R-EoH),825.2322496524503,907.3766966495731,52.37224038809234,937.2149395142527,1.1025,40.59697351540033
20,LLM pool + fuzzy MO evaluator (C-R-EoH),741.4868082408036,811.3943814772097,48.013682224091255,847.6708037079875,1.1009862620015585,54.80015706248323
21,LLM pool + fuzzy MO evaluator (C-R-EoH),791.1790338431833,866.1732359930769,46.232622334599384,917.6033120688663,1.1025,56.922690029655364
22,LLM pool + fuzzy MO evaluator (C-R-EoH),760.9786802890812,813.8718560723067,36.42093275569729,842.7349204074784,1.1025,46.006962671854076
23,LLM pool + fuzzy MO evaluator (C-R-EoH),816.3261190418665,898.1473750068227,55.2176365623895,942.1694843321784,1.1025,70.82764818039263
24,LLM pool + fuzzy MO evaluator (C-R-EoH),852.2263037557132,951.9090194321412,64.53038105072933,1003.4886159768228,1.1012545185789635,66.87202976460324
25,LLM pool + fuzzy MO evaluator (C-R-EoH),698.136965289306,792.2310684364162,57.174965168669345,826.6790050789859,1.1025,48.793396381756445
26,LLM pool + fuzzy MO evaluator (C-R-EoH),831.60012320889,988.9928075494757,95.30442630532916,1105.8903862884733,1.1002209431714816,68.73145729408253
27,LLM pool + fuzzy MO evaluator (C-R-EoH),769.1581332418493,835.5012338452967,44.2500970824065,844.9413859576357,1.1025,50.28194394992039
28,LLM pool + fuzzy MO evaluator (C-R-EoH),900.7971561661905,1076.606460077939,110.6308728590653,1153.932688371265,1.1025,77.77174094794992
29,LLM pool + fuzzy MO evaluator (C-R-EoH),750.2453927886411,785.4853494328377,25.32485269225035,794.066705424996,1.101008499786589,23.767140207854755
